"month","year","count"
"0","1969","1687"
"1","1969","1508"
"2","1969","1507"
"3","1969","1385"
"4","1969","1632"
"5","1969","1511"
"6","1969","1559"
"7","1969","1630"
"8","1969","1579"
"9","1969","1653"
"10","1969","2152"
"11","1969","2148"
"0","1970","1752"
"1","1970","1765"
"2","1970","1717"
"3","1970","1558"
"4","1970","1575"
"5","1970","1520"
"6","1970","1805"
"7","1970","1800"
"8","1970","1719"
"9","1970","2008"
"10","1970","2242"
"11","1970","2478"
"0","1971","2030"
"1","1971","1655"
"2","1971","1693"
"3","1971","1623"
"4","1971","1805"
"5","1971","1746"
"6","1971","1795"
"7","1971","1926"
"8","1971","1619"
"9","1971","1992"
"10","1971","2233"
"11","1971","2192"
"0","1972","2080"
"1","1972","1768"
"2","1972","1835"
"3","1972","1569"
"4","1972","1976"
"5","1972","1853"
"6","1972","1965"
"7","1972","1689"
"8","1972","1778"
"9","1972","1976"
"10","1972","2397"
"11","1972","2654"
"0","1973","2097"
"1","1973","1963"
"2","1973","1677"
"3","1973","1941"
"4","1973","2003"
"5","1973","1813"
"6","1973","2012"
"7","1973","1912"
"8","1973","2084"
"9","1973","2080"
"10","1973","2118"
"11","1973","2150"
"0","1974","1608"
"1","1974","1503"
"2","1974","1548"
"3","1974","1382"
"4","1974","1731"
"5","1974","1798"
"6","1974","1779"
"7","1974","1887"
"8","1974","2004"
"9","1974","2077"
"10","1974","2092"
"11","1974","2051"
"0","1975","1577"
"1","1975","1356"
"2","1975","1652"
"3","1975","1382"
"4","1975","1519"
"5","1975","1421"
"6","1975","1442"
"7","1975","1543"
"8","1975","1656"
"9","1975","1561"
"10","1975","1905"
"11","1975","2199"
"0","1976","1473"
"1","1976","1655"
"2","1976","1407"
"3","1976","1395"
"4","1976","1530"
"5","1976","1309"
"6","1976","1526"
"7","1976","1327"
"8","1976","1627"
"9","1976","1748"
"10","1976","1958"
"11","1976","2274"
"0","1977","1648"
"1","1977","1401"
"2","1977","1411"
"3","1977","1403"
"4","1977","1394"
"5","1977","1520"
"6","1977","1528"
"7","1977","1643"
"8","1977","1515"
"9","1977","1685"
"10","1977","2000"
"11","1977","2215"
"0","1978","1956"
"1","1978","1462"
"2","1978","1563"
"3","1978","1459"
"4","1978","1446"
"5","1978","1622"
"6","1978","1657"
"7","1978","1638"
"8","1978","1643"
"9","1978","1683"
"10","1978","2050"
"11","1978","2262"
"0","1979","1813"
"1","1979","1445"
"2","1979","1762"
"3","1979","1461"
"4","1979","1556"
"5","1979","1431"
"6","1979","1427"
"7","1979","1554"
"8","1979","1645"
"9","1979","1653"
"10","1979","2016"
"11","1979","2207"
"0","1980","1665"
"1","1980","1361"
"2","1980","1506"
"3","1980","1360"
"4","1980","1453"
"5","1980","1522"
"6","1980","1460"
"7","1980","1552"
"8","1980","1548"
"9","1980","1827"
"10","1980","1737"
"11","1980","1941"
"0","1981","1474"
"1","1981","1458"
"2","1981","1542"
"3","1981","1404"
"4","1981","1522"
"5","1981","1385"
"6","1981","1641"
"7","1981","1510"
"8","1981","1681"
"9","1981","1938"
"10","1981","1868"
"11","1981","1726"
"0","1982","1456"
"1","1982","1445"
"2","1982","1456"
"3","1982","1365"
"4","1982","1487"
"5","1982","1558"
"6","1982","1488"
"7","1982","1684"
"8","1982","1594"
"9","1982","1850"
"10","1982","1998"
"11","1982","2079"
"0","1983","1494"
"1","1983","1057"
"2","1983","1218"
"3","1983","1168"
"4","1983","1236"
"5","1983","1076"
"6","1983","1174"
"7","1983","1139"
"8","1983","1427"
"9","1983","1487"
"10","1983","1483"
"11","1983","1513"
"0","1984","1357"
"1","1984","1165"
"2","1984","1282"
"3","1984","1110"
"4","1984","1297"
"5","1984","1185"
"6","1984","1222"
"7","1984","1284"
"8","1984","1444"
"9","1984","1575"
"10","1984","1737"
"11","1984","1763"
