decade,TimbreAvg1,TimbreAvg2,TimbreAvg3,TimbreAvg4,TimbreAvg5,TimbreAvg6,TimbreAvg7,TimbreAvg8,TimbreAvg9,TimbreAvg10,TimbreAvg11,TimbreAvg12
d00,44.32272018296285,-0.007627097984547493,5.642235982328435,1.0939260124352985,-6.0004139205699625,-10.747237474549511,-1.397272557770793,-2.020489869714956,3.491138476009349,1.9064253769872415,-0.13540799277659119,2.0645211219671546
d10,48.034689871753955,2.731672343550447,15.971815398573856,-2.353063357811836,-7.479482145593876,-17.34612538207749,2.4763058626011065,-3.0474370428905915,8.185242261600685,1.733615347488293,1.00454929544487,3.93725503671775
d20,34.46410808132037,-97.5560570407226,65.14926044199075,7.411860563856469,-2.8265608211476034,10.393596037458055,-30.232077425800856,7.219990312225532,-4.507240815818348,5.360484750662104,1.5996046491134783,3.645478453753579
d30,34.13737904515709,-106.19909613968655,54.0361857144375,1.3571878370918682,-15.576073917279288,16.345988291239895,-25.338869929758324,6.874553038088204,4.264964718072964,7.852075658920144,-1.6076152493002098,8.205491878843937
d40,35.551152570280614,-85.92217162531882,48.2024455315058,2.3112816270041856,-13.943152667790965,14.112985618985096,-17.07378315978911,4.520636817872571,7.316425537266558,5.500543633727039,-2.18078939143546,11.578451757163744
d50,38.26512444921098,-44.66889079093093,28.723193854883895,-1.8376077188077802,-2.095258171866812,5.046250571823433,-14.000943545460519,0.30365175989427634,6.082154444316646,1.86611255385928,-2.3751576708594704,6.666458684776376
d60,40.290692801368394,-14.125532558995221,22.20928397256726,-0.46484008595198645,-4.525182335434032,-1.2301319045746841,-8.430023493418249,-2.2527102190519996,5.229695206921301,0.7037998577247361,-1.6244517762027033,5.7107173795989095
d70,41.236554158446445,-4.574751724606257,19.26420957362495,1.6858854519631143,-7.148263225898371,-5.185847145329183,-2.466598398538437,-0.9766870423377048,3.3419376294101175,-0.11419419977285701,-0.2395795515463754,3.7231488163210242
d80,41.9464566316763,14.274619325014891,18.0597017732345,3.551223663010351,-8.23399373700121,-7.755866745529251,-3.4769428367799025,-1.8616310958671296,4.279397198199446,2.0531316203696246,0.33884002150852544,3.1970832766016564
d90,41.963814506672,4.960927105074445,9.784497317247347,0.776052316701863,-7.5677641365924355,-8.412217450656593,-4.109107875456568,-1.3660011180360747,4.073644483757147,2.3115623778700667,-0.1391155040407153,3.0087817878663863
